Rank,Name,Platform,Genre,Publisher,ESRB_Rating,Developer,User_Score
38335,Monsters (Probably) Stole My Princess!,PSN,Platform,Mediatonic,E10,Mediatonic Ltd.,9
39157,Neighbours From Hell,PC,Strategy,Encore,T,JoWood Productions,6.5
43105,Robotron: 2084,XBL,Shooter,Midway Games,E,Digital Eclipse,7.5
44283,Shantae: Half-Genie Hero,PC,Platform,WayForward Technologies,T,Way Forward Technologies,9
48499,The Legend of Zelda Collector's Edition,GC,Adventure,Nintendo,E,Nintendo Software Technology Corporation,10
50526,Valkyria Chronicles: Challenges from Team Edy,PSN,Role-Playing,Sega,T,Sega WOW Overworks,8
50702,Viper Racing,PC,Racing,Sierra Entertainment,E,Monster Games,10
51098,Water Warfare,WW,Shooter,Hudson Entertainment,E10,Hudson Entertainment,7.9
52669,ACA NEOGEO BLUE'S JOURNEY,NS,Action,Hamster Corporation,E,SNK Corporation,6.5
53096,Bigley's Revenge,WiiU,Action,Unknown,T,Ninja Pig Studios,3.9
53152,Blossom Tales: The Sleeping King,NS,Adventure,FDG Entertainment,E10,Castle Pixel,10
53194,Bubsy: The Woolies Strike Back,PC,Platform,Accolade,E,Black Forest Games,2
53197,Bullet Witch,PC,Action,Unknown,M,Marvelous,5
53279,Command & Conquer: Renegade,PC,Shooter,Electronic Arts,T,Westwood Studios,5
53303,Cossacks II Battle for Europe,PC,Strategy,GSC Game World,T,GSC Game World,7.5
53473,Disc Jam,NS,Sports,High Horse Entertainment,E,High Horse Entertainment,4.9
53592,Everspace,PS4,Shooter,Badland Games,T,Rockfish Games,9
53718,Freedom Planet,NS,Platform,Galaxy Trail,E10,Galaxy Trail,9
53886,Hollow Knight,NS,Action-Adventure,Team Cherry,E10,Team Cherry,10
54207,Meme Run,WiiU,Action,Unknown,E,Ninja Pig Studios,4.1
54301,Mulaka,NS,Action-Adventure,Lienzo,T,Lienzo,7.6
54349,Neighbours from Hell 2: On Vacation,PC,Puzzle,Cinemaware,T,JoWood,6.5
54427,Old Man's Journey,NS,Puzzle,Broken Rules,E,Broken Rules,8.8
54987,SOMA,XOne,Adventure,Frictional Games,M,Frictional Games,9
55241,The Book of Unwritten Tales 2,NS,Adventure,THQ Nordic,T,KING Art Games,8.5
55252,The Council,PS4,Adventure,Bigben Interactive,M,Big Bad Wolf,9
55424,Thumper,NS,Music,Drool,E10,Drool,9.3
