Name,Genre,Publisher,ESRB_Rating,Developer,User_Score
Mount & Blade,Role-Playing,Paradox Interactive,T,Taleworlds,8.8
Runner3,Platform,Nicalis,E10,Choice Provisions,9.0
Space Hulk: Deathwing,Shooter,Focus Home Interactive,M,Cyanide Studio,7.5
Impossible Creatures,Strategy,Microsoft Game Studios,T,Relic,8.0
Moonlighter,Role-Playing,Merge Games,E10,Digital Sun,9.0
Sid Meier's Civilization II,Strategy,Microprose,E,MPS Labs,9.7
Delta Force 2,Shooter,NovaLogic,T,NovaLogic,6.0
Samantha Swift and the Hidden Roses of Athena,Adventure,Mumbo Jumbo,E,MumboJumbo,8.3
Arcania: Gothic 4,Role-Playing,JoWood Productions,T,Spellbound Entertainment AG,8.0
After Burner Climax,Simulation,Sega,E10,Sega-AM2,7.2
Alien Breed 1: Evolution,Shooter,Team17 Software,T,Team17 Software,6.0
Archibald's Adventures,Puzzle,Unknown,E,Pavel Tovarys,10.0
Bionic Commando Rearmed,Platform,Capcom,M,GRIN,9.5
Call of Duty Classic,Shooter,Activision,T,Infinity Ward,6.8
Extinction,Action,Maximum Games,M,Iron Galaxy,6.9
flower,Adventure,Sony Computer Entertainment,E,thatgamecompany,9.0
Frogger,Action,Konami,E,Digital Eclipse,8.0
Gravity Crash,Shooter,Sony Computer Entertainment,E,Just Add Water,6.0
Monsters (Probably) Stole My Princess!,Platform,Mediatonic,E10,Mediatonic Ltd.,9.0
Neighbours From Hell,Strategy,Encore,T,JoWood Productions,6.5
Robotron: 2084,Shooter,Midway Games,E,Digital Eclipse,7.5
Shantae: Half-Genie Hero,Platform,WayForward Technologies,T,Way Forward Technologies,9.0
The Legend of Zelda Collector's Edition,Adventure,Nintendo,E,Nintendo Software Technology Corporation,10.0
Valkyria Chronicles: Challenges from Team Edy,Role-Playing,Sega,T,Sega WOW Overworks,8.0
Viper Racing,Racing,Sierra Entertainment,E,Monster Games,10.0
Water Warfare,Shooter,Hudson Entertainment,E10,Hudson Entertainment,7.9
ACA NEOGEO BLUE'S JOURNEY,Action,Hamster Corporation,E,SNK Corporation,6.5
Bigley's Revenge,Action,Unknown,T,Ninja Pig Studios,3.9
Blossom Tales: The Sleeping King,Adventure,FDG Entertainment,E10,Castle Pixel,10.0
Bubsy: The Woolies Strike Back,Platform,Accolade,E,Black Forest Games,2.0
Bullet Witch,Action,Unknown,M,Marvelous,5.0
Command & Conquer: Renegade,Shooter,Electronic Arts,T,Westwood Studios,5.0
Cossacks II Battle for Europe,Strategy,GSC Game World,T,GSC Game World,7.5
Disc Jam,Sports,High Horse Entertainment,E,High Horse Entertainment,4.9
Everspace,Shooter,Badland Games,T,Rockfish Games,9.0
Freedom Planet,Platform,Galaxy Trail,E10,Galaxy Trail,9.0
Hollow Knight,Action-Adventure,Team Cherry,E10,Team Cherry,10.0
Meme Run,Action,Unknown,E,Ninja Pig Studios,4.1
Mulaka,Action-Adventure,Lienzo,T,Lienzo,7.6
Neighbours from Hell 2: On Vacation,Puzzle,Cinemaware,T,JoWood,6.5
Old Man's Journey,Puzzle,Broken Rules,E,Broken Rules,8.8
SOMA,Adventure,Frictional Games,M,Frictional Games,9.0
The Book of Unwritten Tales 2,Adventure,THQ Nordic,T,KING Art Games,8.5
The Council,Adventure,Bigben Interactive,M,Big Bad Wolf,9.0
Thumper,Music,Drool,E10,Drool,9.3
