Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
Twisted Metal 2,Racing,Sony Computer Entertainment,T,SingleTrac,8.7
Need for Speed Carbon: Own the City,Racing,Electronic Arts,E10,EA Black Box,7.4
Donkey Kong Country Returns 3D,Platform,Nintendo,E,Monster Games,8.6
Kirby Star Allies,Platform,Nintendo,E10,HAL Laboratory,8.1
God of War Collection,Action,Sony Computer Entertainment,M,Bluepoint Games,9.2
Kinect: Disneyland Adventures,Action-Adventure,Microsoft Studios,E10,Frontier Developments,8.5
ATV Offroad Fury,Racing,Sony Computer Entertainment,E,Rainbow Studios,8.4
Pokemon Colosseum,Role-Playing,Nintendo,E,Genius Sonority Inc.,7.0
NBA 2K16,Sports,2K Sports,E10,Visual Concepts,8.3
Halo: Combat Evolved Anniversary,Shooter,Microsoft Studios,M,343 Industries,8.0
Midnight Club: Los Angeles,Racing,Rockstar Games,T,Rockstar San Diego,8.0
Monster Hunter Freedom 2,Role-Playing,Capcom,T,Capcom,7.6
Theme Hospital,Strategy,Electronic Arts,E,Bullfrog Productions,5.5
Frogger's Adventures: Temple of the Frog,Adventure,Konami,E,Konami,6.7
Guitar Hero,Misc,RedOctane,T,Harmonix Music Systems,8.0
Kirby: Triple Deluxe,Platform,Nintendo,E,HAL Laboratory,7.8
Pokemon Ranger: Shadows of Almia,Role-Playing,Nintendo,E,HAL Laboratory,6.7
WarioWare: Smooth Moves,Puzzle,Nintendo,E,Intelligent Systems,8.2
Kinect Sports: Season Two,Sports,Microsoft Studios,E10,Rare Ltd.,6.6
Art Academy,Misc,Nintendo,E,Headstrong Games,6.8
My Fitness Coach,Sports,Ubisoft,E,Ubisoft,7.1
Mario Super Sluggers,Sports,Nintendo,E,Bandai Namco Games / NOW Production,6.7
Mario Tennis,Sports,Nintendo,E,Camelot Software Planning,8.8
Grand Theft Auto,Action,Take-Two Interactive,M,DMA Design,6.0
Chrono Trigger,Role-Playing,Square,E,SquareSoft,8.8
Final Fantasy III,Role-Playing,Square Enix,E10,Matrix Software,7.4
Dead Island,Action,Deep Silver,M,Techland,6.7
Pro Evolution Soccer 2010,Sports,Konami,E,Konami,7.0
The Legend of Zelda: The Wind Waker,Action-Adventure,Nintendo,E10,Nintendo EAD,9.3
Animal Crossing,Simulation,Nintendo,E,Nintendo EAD,8.3
Classic NES Series: Super Mario Bros.,Platform,Nintendo,E,Nintendo EAD,8.3
Kirby Squeak Squad,Platform,Nintendo,E,"HAL Laboratory, Flagship",7.3
