Name,Genre,Publisher,ESRB_Rating,Developer,Critic_Score
BATMAN: ARKHAM ASYLUM,Action,Eidos Interactive,T,Rocksteady Studios,9.0
GOD OF WAR II,Action,Sony Computer Entertainment,M,SCEA Santa Monica Studio,9.3
DAXTER,Platform,Sony Computer Entertainment,E10,Ready at Dawn,8.6
SUPER PAPER MARIO,Platform,Nintendo,E,Intelligent Systems,8.5
METAL GEAR SOLID 3: SNAKE EATER,Action,Konami,M,KCEJ / Kojima Productions,9.0
ASSASSIN'S CREED: REVELATIONS,Action,Ubisoft,M,Ubisoft Montreal,7.9
MONSTER HUNTER 4 ULTIMATE,Role-Playing,Capcom,T,Capcom,8.8
STAR WARS BATTLEFRONT (2015),Shooter,Electronic Arts,T,EA DICE,6.9
SUPER MARIO WORLD 2: YOSHI'S ISLAND,Platform,Nintendo,E,Nintendo EAD,9.0
BATMAN: ARKHAM KNIGHT,Action,Warner Bros. Interactive,M,Rocksteady Studios,8.1
THE SIMS 4,Simulation,Electronic Arts,T,Maxis,7.0
FAR CRY 4,Shooter,Ubisoft,M,Ubisoft Montreal,8.4
CARNIVAL GAMES,Misc,Global Star Software,E,Cat Daddy Games,4.2
WORLD SOCCER WINNING ELEVEN 9,Sports,Konami,E,Konami Computer Entertainment Tokyo,8.9
FORZA MOTORSPORT 2,Racing,Microsoft Game Studios,E,Turn 10 Studios,9.1
TEKKEN TAG TOURNAMENT,Fighting,Namco,T,Namco,8.7
DIABLO II,Role-Playing,Blizzard Entertainment,M,Blizzard North,8.8
EYETOY PLAY,Misc,Sony Computer Entertainment,E,SCEE London Studio,7.5
JUST DANCE,Misc,Ubisoft,E10,Ubisoft Paris,5.4
STAR FOX 64,Shooter,Nintendo,E,Nintendo EAD,9.0
WORLD OF WARCRAFT: WRATH OF THE LICH KING,MMO,Blizzard Entertainment,T,Blizzard Entertainment,9.3
FALLOUT 3,Role-Playing,Bethesda Softworks,M,Bethesda Game Studios,8.8
LEFT 4 DEAD 2,Shooter,Electronic Arts,M,Certain Affinity / Valve Software,9.0
BATTLEFIELD 4,Shooter,Electronic Arts,M,EA DICE,8.3
EA SPORTS ACTIVE,Sports,EA Sports,E,EA Vancouver,8.3
HALF-LIFE 2: EPISODE ONE,Shooter,Electronic Arts,M,Valve Software,8.7
TONY HAWK'S UNDERGROUND,Sports,Activision,T,Neversoft Entertainment,8.7
JUST DANCE 2014,Music,Ubisoft,E10,Ubisoft Paris,7.4
PROFESSOR LAYTON AND THE DIABOLICAL BOX,Adventure,Nintendo,E10,Level 5,8.5
SPORTS CHAMPIONS,Sports,Sony Computer Entertainment,E10,SCE San Diego Studio,7.6
