rank,name,platform,year,genre,na_sales,eu_sales,jp_sales,other_sales,global_sales,publisher,critic_score,user_score,crtic_esrb_rating,user_esrb_rating
2329,Madden NFL 08,Wii,2007,Sports,0.82,0.01,0,0.07,0.89,Electronic Arts,7.3,,E,
2330,Blitz: The League,PS2,2005,Sports,0.74,0.03,0,0.12,0.89,Unknown,6.5,,M,
2332,Castlevania: Circle of the Moon,GBA,2001,Platform,0.6,0.22,0.05,0.02,0.89,Konami Digital Entertainment,8.9,,T,
2333,Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,0.51,0.29,0.01,0.09,0.89,Sega,7.3,,E,
2334,Tiger Woods PGA Tour 06,PS2,2005,Sports,0.74,0.03,0,0.12,0.89,Electronic Arts,6.9,,E,
2335,Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,0.46,0.17,0.24,0.02,0.89,Nintendo,8.4,,E,
2337,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,0.42,0.16,0.3,0.02,0.89,Nintendo,8.4,,E,
2339,Finding Nemo,GC,2003,Action,0.69,0.18,0,0.02,0.89,THQ,7,,E,
2341,Ace Combat 2,PS,1997,Simulation,0.16,0.11,0.56,0.06,0.89,Sony Computer Entertainment,8.5,,T,
2342,F1 2009,Wii,2009,Racing,0.15,0.63,0,0.11,0.89,Codemasters,6.8,,E,
2343,NFL 2K2,PS2,2001,Sports,0.44,0.34,0,0.11,0.89,Sega,9.3,,E,
2345,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,0.21,0.13,0.46,0.08,0.89,Square Enix,8.3,,T,
2347,F1 2010,X360,2010,Racing,0.18,0.59,0.01,0.1,0.89,Codemasters,8,,E,
2349,Call of Duty: Modern Warfare 2,PC,2009,Shooter,0.01,0.79,0,0.09,0.89,Activision,9,9,M,M
2350,Wii Fit U,WiiU,2013,Sports,0.39,0.24,0.21,0.06,0.89,Nintendo,7.2,,E,
2352,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,0.6,0.21,0,0.08,0.89,Activision,4.5,,M,
2357,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,0.44,0.36,0,0.08,0.88,THQ,7.1,,T,
2358,Sleeping Dogs,X360,2012,Action,0.38,0.41,0.01,0.08,0.88,Square Enix,7.9,,M,
2359,Grand Theft Auto IV,PC,2008,Action,0.01,0.79,0,0.08,0.88,Take-Two Interactive,9.2,9,M,M
2361,Michael Jackson: The Experience,X360,2011,Misc,0.62,0.2,0,0.07,0.88,Ubisoft,5.6,,E10,
2362,Ghostbusters: The Video Game,Wii,2009,Action,0.6,0.21,0,0.08,0.88,Atari,5.8,,E10,
2363,Rock Band 3,X360,2010,Misc,0.73,0.1,0,0.06,0.88,MTV Games,8.5,,E10,
2364,Resident Evil: Revelations,3DS,2012,Action,0.3,0.22,0.3,0.05,0.88,Capcom,7,,M,
2365,NBA 2K6,PS2,2005,Action,0.43,0.34,0,0.11,0.88,Take-Two Interactive,8,,E,
2367,Endless Ocean: Blue World,Wii,2009,Simulation,0.47,0.22,0.12,0.07,0.88,Nintendo,7.6,,E10,
2369,Just Cause 3,XOne,2015,Action,0.42,0.38,0,0.07,0.88,Square Enix,7,,M,
2370,Metal Gear Ac!d,PSP,2004,Strategy,0.32,0.26,0.12,0.17,0.88,Konami Digital Entertainment,7.4,,M,
2372,Tekken Tag Tournament 2,PS3,2012,Fighting,0.28,0.33,0.13,0.14,0.88,Namco Bandai Games,8.1,,T,
2374,GRID,X360,2008,Racing,0.33,0.44,0.01,0.09,0.88,Codemasters,7.9,,E,
2375,Phantasy Star Portable 2,PSP,2009,Role-Playing,0.08,0.11,0.62,0.06,0.88,Sega,7.4,,T,
2380,DiRT,X360,2007,Racing,0.38,0.4,0,0.09,0.87,Codemasters,8.3,,E,
2383,Red Faction: Guerrilla,X360,2009,Shooter,0.48,0.29,0.01,0.09,0.87,THQ,8.3,,M,
2385,Mercenaries 2: World in Flames,PS3,2008,Shooter,0.29,0.4,0.02,0.16,0.87,Electronic Arts,6,,T,
2387,Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,0.73,0.03,0,0.12,0.87,Square Enix,7.2,,E10,
2389,NCAA Football 13,PS3,2012,Action,0.82,0,0,0.06,0.87,Electronic Arts,7.1,,E,
2393,The House of the Dead: Overkill,Wii,2009,Shooter,0.46,0.31,0.02,0.09,0.87,Sega,7.9,,M,
2394,Tony Hawk's Project 8,PS2,2006,Sports,0.72,0.03,0,0.12,0.87,Activision,6.3,,T,
2397,Buzz! Master Quiz,PSP,2008,Misc,0.2,0.44,0,0.23,0.87,Sony Computer Entertainment,7,,E10,
2398,Brothers in Arms: Hell's Highway,X360,2008,Shooter,0.47,0.31,0,0.09,0.87,Ubisoft,6,,M,
2402,Conflict: Desert Storm,XB,2002,Shooter,0.48,0.37,0,0.02,0.87,SCi,6.3,,T,
2404,Vagrant Story,PS,2000,Role-Playing,0.3,0.2,0.3,0.06,0.87,Crave Entertainment,9.3,,T,
2405,Lemmings,PSP,2006,Puzzle,0.12,0.52,0,0.23,0.87,Sony Computer Entertainment,6.5,,E,
2406,Warriors Orochi,PS2,2007,Action,0.11,0.09,0.64,0.03,0.87,Tecmo Koei,6.4,,T,
2407,Guitar Hero: Warriors of Rock,X360,2010,Misc,0.47,0.32,0,0.08,0.87,Activision,7.1,,T,
2412,Tomb Raider: Anniversary,Wii,2007,Action,0.12,0.63,0,0.11,0.86,Eidos Interactive,6.8,,T,
2413,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,0.01,0.72,0.12,0.01,0.86,Konami Digital Entertainment,8.2,,E,
2414,Darksiders II,PS3,2012,Action,0.35,0.37,0.01,0.14,0.86,THQ,7.8,,M,
2415,Ghostbusters: The Video Game,PS3,2009,Action,0.34,0.37,0,0.15,0.86,Sony Computer Entertainment,5.8,,E10,
2416,The World Ends With You,DS,2007,Role-Playing,0.54,0.06,0.21,0.05,0.86,Square Enix,8.6,,T,
2417,The Lord of the Rings: War in the North,PS3,N/A,Action,0.25,0.45,0.01,0.15,0.86,Warner Bros. Interactive Entertainment,6.5,,M,
2418,Rocky,PS2,2002,Fighting,0.42,0.33,0,0.11,0.86,Rage Software,7,,T,
2419,Dragon Quest VIII: Journey of the Cursed King,3DS,2015,Role-Playing,0,0,0.86,0,0.86,Square Enix,8.6,,T,
2423,Dragon Ball Z: Burst Limit,PS3,2008,Fighting,0.22,0.34,0.18,0.12,0.86,Atari,7.3,,T,
2424,The Lord of the Rings: War in the North,X360,N/A,Action,0.52,0.26,0,0.08,0.86,Warner Bros. Interactive Entertainment,6.5,,M,
2425,The Legendary Starfy,DS,2008,Platform,0.61,0,0.2,0.05,0.86,Nintendo,7.1,,E,
2426,2010 FIFA World Cup South Africa,X360,2010,Sports,0.32,0.43,0.02,0.09,0.86,Electronic Arts,6.8,,E,
2428,Ninja Gaiden Sigma 2,PS3,2009,Action,0.52,0.16,0.08,0.1,0.86,Ubisoft Annecy,8.5,,M,
2430,Skate 2,PS3,2009,Sports,0.46,0.26,0.01,0.12,0.85,Electronic Arts,8.2,,T,
2431,FIFA Soccer 08,DS,2007,Sports,0.1,0.65,0,0.11,0.85,Electronic Arts,7.9,,E,
2433,Need for Speed: Nitro,Wii,2009,Racing,0.46,0.31,0,0.08,0.85,Electronic Arts,7,,E10,
2436,Far Cry: Primal,XOne,2016,Action,0.46,0.32,0,0.07,0.85,Ubisoft,7.2,,M,
2437,Street Fighter Alpha 2,PS,1996,Fighting,0.14,0.09,0.57,0.06,0.85,Virgin Interactive,8,,T,
2439,Army of Two: The 40th Day,PS3,2010,Shooter,0.44,0.27,0.01,0.12,0.85,Electronic Arts,4.8,,M,
2440,Blazing Angels: Squadrons of WWII,Wii,2007,Simulation,0.74,0.04,0,0.06,0.85,Ubisoft,4.7,,T,
2441,Castlevania III: Dracula's Curse,NES,1989,Platform,0.4,0.07,0.37,0.01,0.85,Konami Digital Entertainment,9,,E,
2442,Harry Potter and the Order of the Phoenix,DS,2007,Action,0.28,0.47,0,0.1,0.85,Electronic Arts,4.8,,E10,
2444,Burnout Legends,PSP,2005,Racing,0.7,0.06,0,0.09,0.85,Electronic Arts,3.8,,E,
2446,Overwatch,XOne,2016,Shooter,0.52,0.25,0,0.08,0.85,Activision,8.7,,T,
2447,Ratatouille,PS2,2007,Action,0.31,0,0,0.53,0.85,THQ,5.2,,E,
2450,Kirby: Planet Robobot,3DS,2016,Action,0.26,0.1,0.44,0.04,0.85,Nintendo,7.7,,E,
2453,Sniper Elite V2,X360,2012,Shooter,0.46,0.29,0.02,0.07,0.85,505 Games,6,,M,
2455,Spider-Man 2,GC,2004,Action,0.65,0.17,0,0.02,0.84,Activision,4.5,,E,
2456,Golden Sun: Dark Dawn,DS,2010,Role-Playing,0.56,0.11,0.13,0.05,0.84,Nintendo,8,,E10,
2457,Tiger Woods PGA Tour 11,PS3,2010,Sports,0.37,0.34,0,0.13,0.84,Electronic Arts,7.9,,E,
2460,NBA 2K10,PS3,2009,Sports,0.75,0.01,0.01,0.07,0.84,Take-Two Interactive,5.1,,E,
2461,Xenoblade Chronicles X,WiiU,2015,Role-Playing,0.36,0.28,0.14,0.06,0.84,Nintendo,8.1,,T,
2463,The Incredibles,GC,2004,Action,0.65,0.17,0,0.02,0.84,THQ,5.4,,E,
2464,NCAA Football 11,PS3,2010,Sports,0.79,0,0,0.06,0.84,Electronic Arts,6.4,,E,
2465,Dragon Age II,PS3,2011,Action,0.4,0.27,0.05,0.12,0.84,Electronic Arts,7.7,,M,
2468,Final Fantasy,NES,1987,Role-Playing,0.32,0,0.52,0,0.84,SquareSoft,8.5,,E,
2471,Duke Nukem Forever,X360,2011,Shooter,0.52,0.25,0,0.07,0.84,Take-Two Interactive,4.3,,M,
2472,Big Mutha Truckers,PS2,2002,Racing,0.41,0.32,0,0.11,0.84,Empire Interactive,5,,E10,
2474,Rogue Galaxy,PS2,2005,Role-Playing,0.24,0.16,0.39,0.05,0.84,Sony Computer Entertainment,8.3,,T,
2476,Metroid: Zero Mission,GBA,2004,Adventure,0.6,0.22,0,0.01,0.84,Nintendo,8.9,,E,
2477,FIFA 15,PSV,2014,Sports,0.13,0.48,0.04,0.19,0.84,Electronic Arts,6.9,,E,
2478,Time Crisis 4,PS3,2007,Shooter,0.32,0.33,0.05,0.14,0.84,Namco Bandai Games,6.1,,T,
2482,WWE SmackDown vs. Raw 2009,Wii,2008,Fighting,0.44,0.31,0,0.08,0.83,THQ,7.8,,T,
2483,Ace Combat 3: Electrosphere,PS,1999,Simulation,0.22,0.15,0.4,0.05,0.83,Sony Computer Entertainment,7.6,,E,
2486,Madden NFL 07,PSP,N/A,Sports,0.77,0.03,0,0.04,0.83,Unknown,6.9,,E,
2492,Yu-Gi-Oh! Dark Duel Stories,GB,2000,Misc,0,0,0.83,0,0.83,Konami Digital Entertainment,6.2,,E,
2495,NCAA Football 12,PS3,2011,Sports,0.78,0,0,0.05,0.83,Electronic Arts,7.7,,E,
2498,Sid Meier's Civilization Revolution,X360,2008,Strategy,0.58,0.17,0,0.07,0.83,Take-Two Interactive,8.2,7.6,E10,E10
2502,Dragon Ball: Raging Blast 2,PS3,2010,Fighting,0.42,0.2,0.11,0.09,0.83,Namco Bandai Games,6,,T,
2504,Casper,PS,1996,Adventure,0.46,0.31,0,0.05,0.83,Interplay,4.9,,E,
2506,James Bond 007: Nightfire,XB,2002,Shooter,0.58,0.22,0,0.03,0.82,Electronic Arts,7.2,,T,
2507,Madden NFL 17,XOne,2016,Sports,0.72,0.02,0,0.09,0.82,Electronic Arts,8.1,,E,
2508,Tony Hawk's Underground 2 Remix,PSP,2005,Sports,0.46,0.21,0,0.15,0.82,Activision,8.5,,T,
2509,Tony Hawk's Pro Skater 3,GC,2001,Sports,0.64,0.17,0,0.02,0.82,Activision,8.1,,E,
2510,Marvel: Ultimate Alliance,PS2,2006,Role-Playing,0.69,0.03,0,0.11,0.82,Activision,2.3,,E10,
2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009,Action,0.44,0.3,0,0.08,0.82,LucasArts,4.8,,T,
2512,DJ Hero 2,X360,2010,Misc,0.64,0.12,0,0.06,0.82,Activision,8.4,,T,
2514,Need for Speed: Hot Pursuit 2,XB,2002,Racing,0.68,0.11,0,0.03,0.82,Electronic Arts,6.7,,E,
2519,MediEvil: Resurrection,PSP,2005,Adventure,0.19,0.41,0,0.22,0.82,Sony Computer Entertainment,6.5,,T,
2521,Tales of the Abyss,3DS,2011,Role-Playing,0.42,0.19,0.14,0.06,0.82,Namco Bandai Games,7.3,,T,
2523,Guitar Hero: Warriors of Rock,PS3,2010,Misc,0.33,0.35,0,0.14,0.82,Activision,7.1,,T,
2525,Madden NFL 16,PS3,2015,Sports,0.56,0.11,0,0.15,0.82,Electronic Arts,8,,E,
2526,Stranglehold,X360,2007,Shooter,0.4,0.33,0.01,0.09,0.82,Midway Games,8,,M,
2528,Shin Megami Tensei: Persona 4,PS2,2008,Role-Playing,0.34,0.04,0.36,0.08,0.82,Atlus,9.2,,M,
2530,Shaun White Snowboarding,X360,N/A,Sports,0.48,0.26,0,0.08,0.82,Ubisoft,6,,T,
2531,Madden NFL 25,PS4,2013,Sports,0.62,0.13,0,0.07,0.82,Electronic Arts,7.1,,E,
2532,Twisted Metal (2012),PS3,2012,Action,0.67,0.07,0,0.07,0.82,Sony Computer Entertainment,7.9,,M,
2535,Ready 2 Rumble Boxing: Round 2,PS2,2000,Fighting,0.4,0.31,0,0.1,0.81,Midway Games,4.8,,E,
2537,Patapon,PSP,2007,Misc,0.33,0.25,0.07,0.17,0.81,Sony Computer Entertainment,8.7,,E,
2538,Tales of Destiny II,PS,2000,Role-Playing,0.06,0.04,0.66,0.05,0.81,Namco Bandai Games,7.5,,T,
2542,The Legend of Zelda: Four Swords Adventures,GC,2004,Action,0.63,0.16,0,0.02,0.81,Nintendo,8.4,,E,
2545,Valkyrie Profile,PS,1999,Role-Playing,0.07,0.05,0.63,0.05,0.81,Enix Corporation,8.1,,T,
2547,Pro Evolution Soccer 2010,X360,2009,Sports,0.12,0.58,0.03,0.08,0.81,Konami Digital Entertainment,7,,E,
2548,Army Men: Sarge's Heroes,N64,1999,Action,0.68,0.12,0,0.01,0.81,3DO,4.2,,T,
2550,Tom Clancy's Rainbow Six 3,PS2,2004,Shooter,0.4,0.31,0,0.1,0.81,Ubisoft,6.5,,M,
2551,Lego Batman 3: Beyond Gotham,PS3,2014,Action,0.33,0.35,0,0.13,0.81,Warner Bros. Interactive Entertainment,7.4,,E10,
2553,DiRT 2,X360,2009,Racing,0.32,0.4,0,0.09,0.81,Codemasters,4.6,,E10,
2557,NCAA Football 10,PS3,2009,Sports,0.75,0,0,0.06,0.81,Electronic Arts,7,,E,
2558,Ben 10: Alien Force,Wii,2008,Action,0.52,0.21,0,0.07,0.81,Koch Media,5.2,,E10,
2560,Final Fantasy XI: Wings of the Goddess,PS2,2007,Role-Playing,0.35,0.27,0.09,0.09,0.81,Square Enix,6.5,,T,
2561,The Sims 2,PS2,2005,Simulation,0.67,0.03,0,0.11,0.81,Electronic Arts,6.2,,T,
2562,Guitar Hero: Metallica,X360,2009,Misc,0.52,0.21,0,0.07,0.81,Activision,8.5,,T,
2563,NCAA Football 14,PS3,2013,Sports,0.75,0,0,0.06,0.8,Electronic Arts,7.6,,E,
2564,MadWorld,Wii,2009,Action,0.46,0.25,0.02,0.07,0.8,Sega,8.1,8.1,M,M
2565,Fight Night Champion,X360,2011,Fighting,0.4,0.33,0,0.07,0.8,Electronic Arts,8.4,,M,
2567,Yakuza,PS2,2005,Action,0.03,0.02,0.74,0.01,0.8,Sega,7.5,,M,
2568,Star Wars Rogue Squadron III: Rebel Strike,GC,2003,Simulation,0.62,0.16,0,0.02,0.8,LucasArts,8.3,,T,
2572,The Sims 2: Pets,PSP,2006,Simulation,0.19,0.39,0,0.22,0.8,Electronic Arts,4.8,,E,
2573,Final Fantasy Anthology,PS,1999,Role-Playing,0.45,0.3,0,0.05,0.8,Square EA,8.6,,T,
2575,Pro Evolution Soccer 2010,PSP,2009,Sports,0.09,0.33,0.2,0.18,0.8,Konami Digital Entertainment,7,,E,
